Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Unknown,Xinjiang,Yunnan,Zhejiang
0,18,22,23,3,299,0,0,0,1,3,6,4766,0,12,24,24,0,0,5,0,0,5,9,1,4,16,8,3,0,2351,30,4,1
1,33,10,95,3,249,0,2,0,0,5,13,4418,0,15,15,18,0,0,2,2,2,2,11,7,5,17,13,2,0,2223,23,4,0
0,67,23,129,0,250,0,0,0,0,13,100,4709,1,15,219,14,0,0,3,0,3,11,25,5,12,24,21,3,0,2382,55,5,2
1,38,44,54,8,208,0,2,0,0,6,22,5245,1,0,239,6,0,0,3,0,2,1,11,6,3,28,22,0,0,2699,0,6,1
0,41,40,62,0,228,0,1,0,0,11,0,4516,0,10,78,6,0,0,3,0,1,0,18,10,6,91,21,4,0,3212,42,19,1
0,49,40,24,6,273,0,2,0,1,6,25,5111,0,47,44,3,1,0,3,0,0,0,10,15,3,35,9,0,0,6915,23,11,1
0,44,42,11,2,234,0,0,0,1,16,42,4988,1,10,59,3,1,0,1,0,2,8,8,6,2,22,22,0,0,0,0,11,1
0,36,89,15,10,331,0,5,2,0,3,86,5198,0,16,159,2,3,0,2,0,0,2,13,6,3,33,29,2,0,5010,62,7,1
0,38,157,15,10,608,0,1,2,1,3,159,4649,2,8,135,4,1,0,0,0,0,4,13,6,3,69,43,10,1,6647,34,16,8
0,38,0,18,0,514,0,1,0,0,0,0,5068,0,0,109,3,0,0,6,0,0,1,13,6,3,35,50,0,1,14037,0,16,4
1,64,237,18,22,569,0,2,0,0,9,302,5697,1,13,100,0,4,0,6,0,0,0,6,0,2,0,48,2,0,0,32,0,0
13,70,167,17,3,769,1,4,0,1,18,107,5599,1,15,90,11,0,0,7,0,0,8,16,13,3,128,54,13,1,9224,55,26,23
3,162,159,15,16,742,1,5,0,4,7,242,5723,0,7,114,7,1,0,7,0,0,13,17,11,3,0,45,0,6,22587,34,41,12
0,240,0,31,0,726,0,15,1,5,19,225,6575,0,5,81,24,0,0,3,0,0,8,17,5,5,74,77,5,0,0,0,35,34
3,302,152,13,13,605,0,13,0,6,5,149,6014,2,7,84,15,0,0,2,0,0,8,41,10,2,46,87,6,5,13860,29,39,17
5,202,286,31,13,588,0,10,8,1,35,200,5951,6,6,83,27,0,0,4,0,0,2,63,13,4,66,64,9,6,15771,58,22,12
0,172,172,21,0,1256,0,0,0,0,0,0,6656,0,0,108,0,0,0,2,0,0,0,107,0,8,0,125,4,0,37949,0,50,0
1,101,195,0,7,1358,0,31,7,0,11,137,8052,6,2,112,31,0,1,1,0,0,19,75,16,7,71,0,0,5,0,26,33,19
1,84,148,62,5,1115,1,6,4,2,10,108,8008,3,3,117,23,0,0,0,0,0,5,20,10,13,63,112,4,4,21884,27,53,16
0,74,185,55,3,1178,6,11,0,9,21,378,8060,7,8,99,74,0,0,31,0,0,2,36,44,9,137,300,8,3,42672,30,51,31
0,157,0,35,0,1022,0,10,7,2,0,161,7736,8,10,92,65,5,0,15,1,0,9,30,0,11,120,219,5,2,23936,20,38,25
0,274,240,22,18,816,0,13,5,5,17,75,7286,6,4,78,52,0,6,22,0,1,3,26,49,9,89,243,7,1,25303,18,153,41
